name,degreein,date
181,120,2019-09-07
1,119,2019-09-07
149,119,2019-09-07
94,117,2019-09-07
229,115,2019-09-07
69,115,2019-09-07
89,114,2019-09-07
34,114,2019-09-07
207,114,2019-09-07
262,114,2019-09-07
31,114,2019-09-07
151,114,2019-09-07
108,114,2019-09-07
159,112,2019-09-07
235,111,2019-09-07
270,111,2019-09-07
278,108,2019-09-07
70,108,2019-09-07
86,105,2019-09-07
188,99,2019-09-07
242,81,2019-09-07
142,20,2019-09-07
161,0,2019-09-07
142,15,2019-09-08
233,9,2019-09-08
1,8,2019-09-08
153,5,2019-09-08
94,4,2019-09-08
154,3,2019-09-08
242,2,2019-09-08
188,2,2019-09-08
31,2,2019-09-08
270,1,2019-09-08
89,0,2019-09-08
229,0,2019-09-08
159,0,2019-09-08
34,0,2019-09-08
207,0,2019-09-08
86,0,2019-09-08
235,0,2019-09-08
9,0,2019-09-08
262,0,2019-09-08
181,0,2019-09-08
278,0,2019-09-08
69,0,2019-09-08
149,0,2019-09-08
151,0,2019-09-08
70,0,2019-09-08
161,0,2019-09-08
41,0,2019-09-08
108,0,2019-09-08
188,31,2019-09-09
9,27,2019-09-09
108,27,2019-09-09
153,24,2019-09-09
94,23,2019-09-09
154,20,2019-09-09
159,18,2019-09-09
41,18,2019-09-09
89,16,2019-09-09
229,16,2019-09-09
242,15,2019-09-09
31,13,2019-09-09
233,12,2019-09-09
1,12,2019-09-09
161,12,2019-09-09
70,11,2019-09-09
34,10,2019-09-09
270,10,2019-09-09
69,10,2019-09-09
142,10,2019-09-09
235,9,2019-09-09
181,8,2019-09-09
207,6,2019-09-09
86,6,2019-09-09
262,6,2019-09-09
149,6,2019-09-09
151,6,2019-09-09
278,5,2019-09-09
188,78,2019-09-10
153,78,2019-09-10
235,67,2019-09-10
31,64,2019-09-10
229,62,2019-09-10
154,62,2019-09-10
149,61,2019-09-10
41,61,2019-09-10
9,60,2019-09-10
233,59,2019-09-10
70,59,2019-09-10
159,57,2019-09-10
108,57,2019-09-10
94,56,2019-09-10
1,55,2019-09-10
242,54,2019-09-10
181,53,2019-09-10
151,53,2019-09-10
34,52,2019-09-10
89,51,2019-09-10
207,51,2019-09-10
86,51,2019-09-10
270,51,2019-09-10
262,51,2019-09-10
278,51,2019-09-10
69,41,2019-09-10
142,8,2019-09-10
161,0,2019-09-10
154,47,2019-09-11
70,42,2019-09-11
9,38,2019-09-11
229,33,2019-09-11
41,32,2019-09-11
1,19,2019-09-11
94,18,2019-09-11
86,11,2019-09-11
153,11,2019-09-11
159,7,2019-09-11
233,7,2019-09-11
142,7,2019-09-11
262,4,2019-09-11
31,3,2019-09-11
188,2,2019-09-11
151,2,2019-09-11
89,1,2019-09-11
235,1,2019-09-11
69,1,2019-09-11
149,1,2019-09-11
242,0,2019-09-11
34,0,2019-09-11
207,0,2019-09-11
270,0,2019-09-11
181,0,2019-09-11
278,0,2019-09-11
161,0,2019-09-11
108,0,2019-09-11
108,60,2019-09-12
188,46,2019-09-12
94,43,2019-09-12
159,42,2019-09-12
154,42,2019-09-12
41,41,2019-09-12
278,39,2019-09-12
70,38,2019-09-12
229,37,2019-09-12
9,34,2019-09-12
89,30,2019-09-12
235,29,2019-09-12
161,29,2019-09-12
31,27,2019-09-12
262,20,2019-09-12
1,20,2019-09-12
242,19,2019-09-12
153,19,2019-09-12
149,19,2019-09-12
151,19,2019-09-12
86,18,2019-09-12
69,18,2019-09-12
270,17,2019-09-12
34,16,2019-09-12
233,16,2019-09-12
181,16,2019-09-12
207,15,2019-09-12
142,5,2019-09-12
188,61,2019-09-13
159,59,2019-09-13
94,59,2019-09-13
108,59,2019-09-13
161,44,2019-09-13
278,42,2019-09-13
9,38,2019-09-13
86,27,2019-09-13
149,25,2019-09-13
242,24,2019-09-13
31,24,2019-09-13
233,19,2019-09-13
41,18,2019-09-13
229,17,2019-09-13
235,17,2019-09-13
153,17,2019-09-13
270,16,2019-09-13
89,15,2019-09-13
207,15,2019-09-13
262,15,2019-09-13
1,15,2019-09-13
181,15,2019-09-13
151,15,2019-09-13
154,15,2019-09-13
70,15,2019-09-13
69,14,2019-09-13
34,6,2019-09-13
142,0,2019-09-13
69,60,2019-09-14
34,59,2019-09-14
278,56,2019-09-14
41,54,2019-09-14
94,50,2019-09-14
188,49,2019-09-14
9,49,2019-09-14
108,49,2019-09-14
86,48,2019-09-14
235,48,2019-09-14
233,48,2019-09-14
89,47,2019-09-14
159,46,2019-09-14
270,46,2019-09-14
149,46,2019-09-14
229,45,2019-09-14
242,45,2019-09-14
207,45,2019-09-14
31,45,2019-09-14
1,45,2019-09-14
151,45,2019-09-14
154,45,2019-09-14
70,45,2019-09-14
262,43,2019-09-14
153,42,2019-09-14
181,39,2019-09-14
161,6,2019-09-14
142,0,2019-09-14
262,30,2019-09-15
69,29,2019-09-15
149,29,2019-09-15
41,29,2019-09-15
31,28,2019-09-15
235,27,2019-09-15
1,27,2019-09-15
89,26,2019-09-15
188,26,2019-09-15
278,26,2019-09-15
159,25,2019-09-15
94,25,2019-09-15
229,24,2019-09-15
207,24,2019-09-15
86,24,2019-09-15
233,24,2019-09-15
9,24,2019-09-15
153,24,2019-09-15
181,24,2019-09-15
151,24,2019-09-15
154,24,2019-09-15
70,24,2019-09-15
108,24,2019-09-15
34,22,2019-09-15
242,20,2019-09-15
270,16,2019-09-15
142,0,2019-09-15
161,0,2019-09-15
188,19,2019-09-16
159,12,2019-09-16
94,12,2019-09-16
108,12,2019-09-16
242,11,2019-09-16
31,11,2019-09-16
278,10,2019-09-16
233,9,2019-09-16
262,9,2019-09-16
151,9,2019-09-16
9,8,2019-09-16
86,7,2019-09-16
89,6,2019-09-16
229,6,2019-09-16
207,6,2019-09-16
235,6,2019-09-16
270,6,2019-09-16
153,6,2019-09-16
1,6,2019-09-16
181,6,2019-09-16
69,6,2019-09-16
149,6,2019-09-16
154,6,2019-09-16
70,6,2019-09-16
161,6,2019-09-16
41,6,2019-09-16
142,4,2019-09-16
34,3,2019-09-16
188,21,2019-09-17
94,21,2019-09-17
9,21,2019-09-17
242,16,2019-09-17
229,15,2019-09-17
159,15,2019-09-17
154,15,2019-09-17
161,15,2019-09-17
142,14,2019-09-17
1,12,2019-09-17
70,10,2019-09-17
108,10,2019-09-17
31,9,2019-09-17
41,9,2019-09-17
153,8,2019-09-17
233,7,2019-09-17
270,5,2019-09-17
69,4,2019-09-17
278,2,2019-09-17
149,1,2019-09-17
89,0,2019-09-17
34,0,2019-09-17
207,0,2019-09-17
86,0,2019-09-17
235,0,2019-09-17
262,0,2019-09-17
181,0,2019-09-17
151,0,2019-09-17
233,26,2019-09-18
242,14,2019-09-18
31,10,2019-09-18
188,9,2019-09-18
151,8,2019-09-18
142,8,2019-09-18
159,7,2019-09-18
94,7,2019-09-18
1,6,2019-09-18
161,5,2019-09-18
270,4,2019-09-18
262,4,2019-09-18
153,3,2019-09-18
69,3,2019-09-18
149,3,2019-09-18
86,2,2019-09-18
181,1,2019-09-18
278,1,2019-09-18
89,0,2019-09-18
229,0,2019-09-18
34,0,2019-09-18
207,0,2019-09-18
235,0,2019-09-18
9,0,2019-09-18
154,0,2019-09-18
70,0,2019-09-18
41,0,2019-09-18
108,0,2019-09-18
108,29,2019-09-19
9,27,2019-09-19
161,27,2019-09-19
94,26,2019-09-19
159,22,2019-09-19
154,17,2019-09-19
188,15,2019-09-19
278,15,2019-09-19
229,14,2019-09-19
41,14,2019-09-19
142,11,2019-09-19
70,10,2019-09-19
89,9,2019-09-19
262,9,2019-09-19
1,9,2019-09-19
153,7,2019-09-19
235,6,2019-09-19
149,6,2019-09-19
34,5,2019-09-19
270,5,2019-09-19
31,5,2019-09-19
86,4,2019-09-19
242,3,2019-09-19
69,2,2019-09-19
151,2,2019-09-19
207,0,2019-09-19
233,0,2019-09-19
181,0,2019-09-19
270,20,2019-09-20
89,18,2019-09-20
31,18,2019-09-20
69,18,2019-09-20
242,16,2019-09-20
159,16,2019-09-20
188,16,2019-09-20
235,16,2019-09-20
154,16,2019-09-20
108,16,2019-09-20
153,15,2019-09-20
149,15,2019-09-20
94,14,2019-09-20
278,14,2019-09-20
233,13,2019-09-20
1,13,2019-09-20
229,12,2019-09-20
34,12,2019-09-20
207,12,2019-09-20
86,12,2019-09-20
9,12,2019-09-20
262,12,2019-09-20
181,12,2019-09-20
151,12,2019-09-20
70,12,2019-09-20
41,12,2019-09-20
161,6,2019-09-20
142,2,2019-09-20
9,21,2019-09-21
