from,to,timestamp,rel_type
207,89,1601800015548.0,reaction
89,224,,group
207,224,,group
159,224,,group
235,89,1576159667024.0,msg
89,235,1576158861330.0,msg
89,235,1576158858705.0,msg
89,235,1576158821178.0,msg
235,89,1576158728553.0,msg
89,235,1574683570388.0,msg
235,89,1568484950490.0,msg
89,235,1568484900731.0,msg
235,89,1568484849369.0,msg
89,235,1568474815497.0,msg
89,235,1568474798812.0,msg
235,89,1568461965781.0,msg
235,89,1568461961531.0,msg
89,235,1568456185760.0,msg
89,235,1568456153072.0,msg
89,235,1568456145150.0,msg
235,89,1568356761660.0,msg
235,89,1568356752939.0,msg
89,235,1568351864981.0,msg
235,89,1568328486538.0,msg
89,235,1567034020422.0,msg
207,19,1601303508213.0,msg
89,19,1601303393491.0,msg
94,19,1601302529592.0,msg
94,19,1601302484241.0,msg
89,19,1601302307923.0,msg
89,19,1601302246205.0,msg
207,19,1601302218281.0,msg
207,19,1601302061520.0,msg
89,94,1601302529592.0,reaction
207,89,1601302307923.0,reaction
89,19,,group
207,19,,group
94,19,,group
159,166,1607674226309.0,msg
89,166,1607674182328.0,msg
159,166,1607674165890.0,msg
159,166,1607671787935.0,msg
159,166,1607667422810.0,msg
89,166,1607667417801.0,msg
159,166,1607667392196.0,msg
89,166,1607667148375.0,msg
89,166,1607426300974.0,msg
159,166,1607425632698.0,msg
89,166,1607366064641.0,msg
89,166,1607366061537.0,msg
89,166,1607364757689.0,msg
89,166,1607364755021.0,msg
159,166,1607364307401.0,msg
89,166,1607364163778.0,msg
159,166,1607360331040.0,msg
89,166,1607359001969.0,msg
89,166,1607358983354.0,msg
89,166,1607358978551.0,msg
159,166,1607358970682.0,msg
89,166,1607358951643.0,msg
159,166,1607358942677.0,msg
89,166,1607358940054.0,msg
159,166,1607358929609.0,msg
89,166,1607358885675.0,msg
159,166,1607358857246.0,msg
159,166,1607358768969.0,msg
89,166,1607357184368.0,msg
159,166,1607357153220.0,msg
89,166,1607352973317.0,msg
89,166,1607341079029.0,msg
159,166,1607340945214.0,msg
89,166,1607340818204.0,msg
89,166,1607340808423.0,msg
159,166,1607340766669.0,msg
159,166,1607340755299.0,msg
89,166,1607340570508.0,msg
159,166,1607339977931.0,msg
89,166,1607290383537.0,msg
159,166,1607288419097.0,msg
89,166,1607253669515.0,msg
89,166,1607252441586.0,msg
159,166,1607252284730.0,msg
89,166,1607211548954.0,msg
159,166,1607199680690.0,msg
159,166,1607199675736.0,msg
89,166,1607198713940.0,msg
89,166,1607198691551.0,msg
159,166,1607196887891.0,msg
89,166,1607196516815.0,msg
159,166,1607078696392.0,msg
89,166,1607075650862.0,msg
159,166,1607068931755.0,msg
159,166,1607068871521.0,msg
159,166,1607068853346.0,msg
159,89,1607352973317.0,reaction
159,89,1607341079029.0,reaction
159,89,1607198713940.0,reaction
89,166,,group
159,166,,group
270,237,1585312561194.0,msg
34,237,1585311496251.0,msg
89,237,1585311462691.0,msg
89,237,1585311455280.0,msg
89,237,1585311449291.0,msg
34,237,,group
89,237,,group
270,237,,group
89,37,1582833753340.0,msg
89,37,,group
89,94,1601023085584.0,msg
94,89,1601022774729.0,msg
94,89,1601022762384.0,msg
89,94,1601022680876.0,msg
94,89,1601022295742.0,msg
89,94,1601022273459.0,msg
94,89,1601022210536.0,msg
89,94,1601022205013.0,msg
94,89,1601022176043.0,msg
89,94,1601022126507.0,msg
89,94,1601022121528.0,msg
89,94,1601022106773.0,msg
94,89,1601022068210.0,msg
94,89,1601022060864.0,msg
89,94,1601022014511.0,msg
89,94,1601022005310.0,msg
94,89,1601021991659.0,msg
94,89,1601021982258.0,msg
94,89,1601021974109.0,msg
94,89,1601021965316.0,msg
89,94,1601021885916.0,msg
89,94,1601021861656.0,msg
89,94,1601021850575.0,msg
89,94,1601021840070.0,msg
94,89,1601020720268.0,msg
94,89,1600060932715.0,msg
89,94,1600029351766.0,msg
89,94,1600029343177.0,msg
94,89,1600029287214.0,msg
89,94,1600028674935.0,msg
89,94,1600028660562.0,msg
94,89,1599824764778.0,msg
89,94,1599824526760.0,msg
94,89,1599823402616.0,msg
89,94,1599823247519.0,msg
89,94,1599823234513.0,msg
94,89,1599264869803.0,msg
89,94,1599264713932.0,msg
94,89,1599165027853.0,msg
89,94,1599164049411.0,msg
89,94,1599164046008.0,msg
94,89,1599163242918.0,msg
89,94,1598991403289.0,msg
94,89,1598989291258.0,msg
94,89,1598989279536.0,msg
89,94,1598988055424.0,msg
89,94,1598988025212.0,msg
89,94,1599264869803.0,reaction
89,94,1599165027853.0,reaction
94,89,1598991403289.0,reaction
159,251,1596457461160.0,msg
159,251,1596457445754.0,msg
207,251,1596456764143.0,msg
89,251,1596390725006.0,msg
89,251,1596390655010.0,msg
94,251,1596389994623.0,msg
207,251,1596383406016.0,msg
159,251,1596383392494.0,msg
207,251,1596383271962.0,msg
207,251,1596383252238.0,msg
207,251,1596383232944.0,msg
89,251,1596383145715.0,msg
159,251,1596383107075.0,msg
159,251,1596383100457.0,msg
159,251,1596383079301.0,msg
89,251,1596383059965.0,msg
159,251,1596383059699.0,msg
207,251,1596383047681.0,msg
207,251,1596383028522.0,msg
207,251,1596268773421.0,msg
207,251,1596268753283.0,msg
94,251,1596210072124.0,msg
159,251,1596209650130.0,msg
89,251,1596209641985.0,msg
89,251,1596209634419.0,msg
94,251,1596207735924.0,msg
89,251,1596207698734.0,msg
94,251,1596207611653.0,msg
89,251,1596207544629.0,msg
207,251,1596207523057.0,msg
207,251,1596207519576.0,msg
89,251,1596207510691.0,msg
89,251,1596207495613.0,msg
159,251,1595758414682.0,msg
207,251,1595758399089.0,msg
207,251,1595758380446.0,msg
159,251,1595690373054.0,msg
89,251,1595690253314.0,msg
89,251,1595194118037.0,msg
159,251,1595192488389.0,msg
207,251,1595192071605.0,msg
207,251,1595191958895.0,msg
207,251,1595191877092.0,msg
159,251,1595191123681.0,msg
159,251,1595191095875.0,msg
159,251,1595191040182.0,msg
207,159,1596457461160.0,reaction
94,159,1596457461160.0,reaction
159,89,1596390725006.0,reaction
207,159,1596383079301.0,reaction
94,207,1596268773421.0,reaction
89,159,1596209650130.0,reaction
159,89,1595194118037.0,reaction
94,159,1595192488389.0,reaction
89,251,,group
207,251,,group
159,251,,group
94,251,,group
89,151,1567099330578.0,msg
89,167,1587209513268.0,msg
207,167,1587209332852.0,msg
89,167,1587208948894.0,msg
89,167,1587208509025.0,msg
89,167,1587207965141.0,msg
207,167,1587205788841.0,msg
89,167,1587204757267.0,msg
207,167,1587204577871.0,msg
207,167,1587204536851.0,msg
207,167,1587204528413.0,msg
89,167,1587204483347.0,msg
207,167,1587204414528.0,msg
207,167,1587204399438.0,msg
89,167,1587204365042.0,msg
207,167,1587204286620.0,msg
89,167,1587204127843.0,msg
89,167,1587204094828.0,msg
207,167,1587204069169.0,msg
207,167,1587203994069.0,msg
207,167,1587203986777.0,msg
207,167,1587203966603.0,msg
207,167,1587203941613.0,msg
207,167,1587203226664.0,msg
89,167,1587203030609.0,msg
89,167,1587202991088.0,msg
207,167,1587202502370.0,msg
89,167,1587202387672.0,msg
89,167,1587202369518.0,msg
207,167,1587199727303.0,msg
207,167,1587198995524.0,msg
89,167,1587198923460.0,msg
89,167,1587198911546.0,msg
89,167,1587198905889.0,msg
89,167,1587198867875.0,msg
207,167,1587198851370.0,msg
207,167,1587198737699.0,msg
207,167,1587198734236.0,msg
207,167,1587198693687.0,msg
207,167,1587198625470.0,msg
207,167,1587198612160.0,msg
89,167,1587197310958.0,msg
89,167,1587190260932.0,msg
89,167,1587138317558.0,msg
89,167,1587133338544.0,msg
89,167,1587133335693.0,msg
94,167,1587131275328.0,msg
94,167,1587131268459.0,msg
94,167,1587131259896.0,msg
89,167,1587131257444.0,msg
89,167,1587131158323.0,msg
