pair_key,friendship,friendship_strength,lost_con,lockdown
1 15,68.33333333333333,46.78666666666667,FALSE,TRUE
1 15,5,40.22666666666667,TRUE,TRUE
1 15,13.333333333333332,34.5,TRUE,TRUE
1 16,0.12,NA,NA,FALSE
1 16,0.24,NA,NA,FALSE
1 16,0.48,NA,NA,FALSE
1 16,0.48,0.32999999999999996,FALSE,FALSE
1 16,0.24,0.36,FALSE,FALSE
1 16,6.239999999999999,1.8599999999999997,FALSE,FALSE
1 16,2.84,2.4499999999999997,FALSE,FALSE
1 16,4.12,3.36,FALSE,FALSE
1 16,0.12,3.3299999999999996,TRUE,FALSE
1 16,1.24,2.08,FALSE,FALSE
1 16,0.48,1.49,TRUE,FALSE
1 16,1.3199999999999998,0.7899999999999999,FALSE,FALSE
1 16,0.12,0.7899999999999999,TRUE,FALSE
1 16,0.72,0.6599999999999999,FALSE,FALSE
1 16,2.2,1.0899999999999999,FALSE,FALSE
1 16,17,5.01,FALSE,FALSE
1 16,19.786666666666665,9.926666666666666,FALSE,FALSE
1 16,25.333333333333332,16.08,FALSE,FALSE
1 16,27.666666666666664,22.446666666666665,FALSE,FALSE
1 16,15.333333333333332,22.029999999999998,FALSE,FALSE
1 16,35.666666666666664,26,FALSE,FALSE
1 16,31.453333333333333,27.529999999999998,FALSE,TRUE
1 16,33.78666666666666,29.06,FALSE,TRUE
1 16,22.333333333333332,30.81,FALSE,TRUE
1 16,26.813333333333333,28.596666666666664,FALSE,TRUE
1 16,16.906666666666666,24.959999999999997,FALSE,TRUE
1 16,53.666666666666664,29.93,FALSE,TRUE
1 16,46.48,35.96666666666667,FALSE,TRUE
1 16,17.453333333333333,33.626666666666665,FALSE,TRUE
1 16,15.999999999999998,33.4,TRUE,TRUE
1 16,54.36,33.57333333333333,FALSE,TRUE
1 16,40.666666666666664,32.12,FALSE,TRUE
1 16,91.38666666666666,50.60333333333333,FALSE,TRUE
1 16,6.4799999999999995,48.22333333333333,TRUE,FALSE
1 16,7.333333333333333,36.46666666666666,TRUE,FALSE
1 16,12.333333333333332,29.38333333333333,TRUE,FALSE
1 16,25,12.786666666666667,FALSE,TRUE
1 16,0.32,11.246666666666666,TRUE,TRUE
1 16,39.33333333333333,19.246666666666666,FALSE,TRUE
1 16,0.24,16.223333333333333,TRUE,TRUE
1 17,0.72,NA,NA,FALSE
1 17,0.48,NA,NA,FALSE
1 17,0.36,NA,NA,FALSE
1 17,0.24,0.44999999999999996,FALSE,FALSE
1 17,0.36,0.36,FALSE,FALSE
1 17,0.24,0.29999999999999993,FALSE,FALSE
1 17,0.24,0.26999999999999996,FALSE,FALSE
1 17,0.72,0.38999999999999996,FALSE,FALSE
1 17,0.12,0.32999999999999996,TRUE,FALSE
1 17,0.12,0.29999999999999993,TRUE,FALSE
1 17,0.24,0.29999999999999993,FALSE,FALSE
1 17,0.84,0.32999999999999996,FALSE,FALSE
1 17,0.96,0.5399999999999999,FALSE,FALSE
1 17,0.12,0.5399999999999999,TRUE,FALSE
1 17,0.24,0.5399999999999999,TRUE,FALSE
1 17,1.08,0.6,FALSE,FALSE
1 17,1.24,0.6699999999999999,FALSE,FALSE
1 17,0.24,0.7,TRUE,FALSE
1 17,0.36,0.73,TRUE,TRUE
1 17,0.24,0.52,TRUE,TRUE
1 17,0.12,0.23999999999999994,FALSE,TRUE
1 17,0.12,0.20999999999999994,FALSE,TRUE
1 17,0.12,0.14999999999999994,FALSE,TRUE
1 17,2.6666666666666665,0.7566666666666666,FALSE,FALSE
1 17,1.4000000000000001,1.0766666666666667,FALSE,TRUE
1 17,0.08,1.0666666666666667,TRUE,TRUE
1 17,0.16,1.0766666666666667,TRUE,TRUE
1 17,0.24,0.47000000000000003,FALSE,TRUE
1 18,1.4533333333333331,NA,NA,FALSE
1 18,25.119999999999997,NA,NA,FALSE
1 18,2.6666666666666665,NA,NA,FALSE
1 18,5,8.559999999999999,FALSE,FALSE
1 18,4.24,9.256666666666666,TRUE,FALSE
1 18,10.786666666666665,5.673333333333332,FALSE,FALSE
1 18,7.573333333333333,6.899999999999999,FALSE,FALSE
1 18,0.4533333333333333,5.763333333333332,TRUE,FALSE
1 18,31.666666666666664,12.619999999999997,FALSE,FALSE
1 18,1.5999999999999999,10.32333333333333,TRUE,FALSE
1 18,20.666666666666664,13.596666666666664,FALSE,FALSE
1 18,36.906666666666666,22.709999999999997,FALSE,FALSE
1 18,7.333333333333333,16.626666666666665,TRUE,FALSE
1 18,13,19.476666666666663,FALSE,FALSE
1 18,16.24,18.369999999999997,FALSE,FALSE
1 18,9.813333333333333,11.596666666666664,FALSE,FALSE
1 18,1.08,10.033333333333331,TRUE,FALSE
1 18,0.4533333333333333,6.896666666666665,TRUE,FALSE
1 18,19.119999999999997,7.6166666666666645,FALSE,FALSE
1 18,35.65333333333333,14.076666666666663,FALSE,FALSE
1 18,1.3333333333333333,14.139999999999997,TRUE,FALSE
1 18,0.12,14.056666666666663,TRUE,FALSE
1 18,0.6,9.426666666666664,TRUE,TRUE
1 18,0.72,0.6933333333333318,FALSE,TRUE
1 18,0.24,0.4199999999999985,FALSE,TRUE
1 18,0.12,0.4199999999999985,TRUE,TRUE
1 18,0.12,0.2999999999999985,TRUE,TRUE
1 18,0.6,0.26999999999999846,FALSE,TRUE
1 18,0.12,0.2399999999999985,FALSE,TRUE
1 18,0.24,0.26999999999999846,FALSE,FALSE
1 18,0.4,0.33999999999999847,FALSE,FALSE
1 18,0.64,0.3499999999999985,FALSE,TRUE
1 18,0.08,0.33999999999999847,TRUE,TRUE
1 18,2.52,0.9099999999999986,FALSE,TRUE
1 18,0.16,0.8499999999999985,TRUE,TRUE
1 18,0.24,0.7499999999999986,TRUE,TRUE
1 18,0.16,0.7699999999999986,TRUE,TRUE
1 18,0.32,0.2199999999999985,FALSE,TRUE
1 18,0.16,0.2199999999999985,FALSE,TRUE
1 18,0.24,0.2199999999999985,FALSE,TRUE
1 18,0.8,0.3799999999999985,FALSE,TRUE
1 18,0.56,0.4399999999999985,FALSE,TRUE
1 18,0.08,0.41999999999999854,TRUE,TRUE
1 19,0.12,NA,NA,FALSE
1 19,2.52,NA,NA,FALSE
1 19,0.84,NA,NA,FALSE
1 19,0.96,1.1099999999999999,FALSE,FALSE
1 19,0.72,1.2599999999999998,FALSE,FALSE
1 19,0.48,0.7499999999999999,FALSE,FALSE
1 19,0.36,0.6299999999999999,FALSE,FALSE
1 19,0.36,0.47999999999999987,FALSE,FALSE
1 19,2.08,0.8199999999999998,FALSE,FALSE
1 19,0.72,0.8799999999999999,FALSE,FALSE
1 19,1.2000000000000002,1.0899999999999999,FALSE,FALSE
1 19,0.24,1.06,TRUE,FALSE
1 19,0.24,0.5999999999999999,TRUE,FALSE
1 19,4.24,1.48,FALSE,FALSE
1 19,1.56,1.57,FALSE,FALSE
1 19,0.96,1.75,FALSE,FALSE
1 19,1.7200000000000002,2.12,FALSE,FALSE
1 19,1.6,1.46,FALSE,FALSE
1 19,2.08,1.59,FALSE,FALSE
1 19,1.8399999999999999,1.81,FALSE,FALSE
1 19,0.12,1.41,TRUE,FALSE
1 19,0.12,1.04,TRUE,FALSE
1 19,0.84,0.73,FALSE,FALSE
1 19,0.24,0.32999999999999996,FALSE,FALSE
1 19,0.36,0.38999999999999996,FALSE,TRUE
1 19,0.84,0.57,FALSE,TRUE
1 19,0.36,0.44999999999999996,FALSE,TRUE
1 19,2.28,0.96,FALSE,TRUE
1 19,0.36,0.96,TRUE,TRUE
1 19,0.84,0.96,FALSE,TRUE
1 19,1.7200000000000002,1.3,FALSE,TRUE
1 19,0.6,0.8800000000000001,FALSE,TRUE
1 19,1.2,1.09,FALSE,TRUE
1 19,3.3200000000000003,1.7100000000000002,FALSE,TRUE
1 19,5.333333333333333,2.6133333333333333,FALSE,FALSE
1 19,118,31.963333333333335,FALSE,FALSE
1 19,0.24,31.723333333333336,TRUE,TRUE
1 19,0.32,30.973333333333336,TRUE,TRUE
1 19,0.08,29.66,TRUE,TRUE
1 19,1.08,0.43000000000000105,FALSE,TRUE
1 19,0.24,0.43000000000000105,FALSE,TRUE
1 19,250,62.85,FALSE,TRUE
1 19,5.333333333333333,64.16333333333334,TRUE,FALSE
1 2,0.12,NA,NA,FALSE
1 2,0.36,NA,NA,FALSE
1 2,0.24,NA,NA,FALSE
1 2,0.24,0.24,FALSE,FALSE
1 2,0.36,0.3,FALSE,FALSE
1 2,0.72,0.39,FALSE,FALSE
1 2,0.12,0.36,TRUE,FALSE
