join_id,id,pagerank,week,num_msgs,vacation,lockdown,num_friends,new_cons,trans
260_2019-11-03,260,0.04334989035830776,2019-11-03T00:00:00Z,200,FALSE,FALSE,5,2,0.5158221012917399
270_2019-11-03,270,0.021720448777692566,2019-11-03T00:00:00Z,31,FALSE,FALSE,5,5,0.7392984371408872
29_2019-11-03,29,0.03667577987585421,2019-11-03T00:00:00Z,36,FALSE,FALSE,3,0,0.4909566517189742
292_2019-11-03,292,0.025964724705371176,2019-11-03T00:00:00Z,2,FALSE,FALSE,3,0,1.0886816496756255
293_2019-11-03,293,0.03682308949464254,2019-11-03T00:00:00Z,29,FALSE,FALSE,5,2,0.47494643043796353
296_2019-11-03,296,0.028758231755802523,2019-11-03T00:00:00Z,10,FALSE,FALSE,2,1,0.767484458259328
305_2019-11-03,305,0.030031090815616272,2019-11-03T00:00:00Z,58,FALSE,FALSE,3,0,0.9972187015913191
309_2019-11-03,309,0.03706265355690764,2019-11-03T00:00:00Z,9,FALSE,FALSE,2,0,1.2840846994535555
38_2019-11-03,38,0.03130769588007013,2019-11-03T00:00:00Z,26.12,FALSE,FALSE,8,5,0.5352998065764041
4_2019-11-03,4,0.04699110940694876,2019-11-03T00:00:00Z,14,FALSE,FALSE,5,1,0.5982502187226642
5_2019-11-03,5,0.029531380612489187,2019-11-03T00:00:00Z,52,FALSE,FALSE,4,1,0.9286521579140973
55_2019-11-03,55,0.04108515358534254,2019-11-03T00:00:00Z,63,FALSE,FALSE,4,1,0.8895360124247678
63_2019-11-03,63,0.03848450171538119,2019-11-03T00:00:00Z,32,FALSE,FALSE,4,0,0.4274124108643151
83_2019-11-03,83,0.029586854569800695,2019-11-03T00:00:00Z,1,FALSE,FALSE,2,1,1.211554447215299
123_2019-11-10,123,0.03145919327951638,2019-11-10T00:00:00Z,361,FALSE,FALSE,5,3,0.5640003212130777
14_2019-11-10,14,0.0310440881277427,2019-11-10T00:00:00Z,15,FALSE,FALSE,4,2,0.5392416225749548
155_2019-11-10,155,0.03427954008398348,2019-11-10T00:00:00Z,59,FALSE,FALSE,7,4,0.7685287638311716
158_2019-11-10,158,0.031097642987458665,2019-11-10T00:00:00Z,73,FALSE,FALSE,8,4,0.3587704910437068
164_2019-11-10,164,0.05353965046186035,2019-11-10T00:00:00Z,47,FALSE,FALSE,2,0,1.1925885439440316
165_2019-11-10,165,0.020670693808652635,2019-11-10T00:00:00Z,15.120000000000001,FALSE,FALSE,3,3,0.8309417722920099
